,platformId,platform,date,updated,type,description,postUrl,subscriberCount,score,media,likeAndViewCountsDisabled,languageCode,legacyId,id,statistics.actual.favoriteCount,statistics.actual.commentCount,statistics.expected.favoriteCount,statistics.expected.commentCount,account.id,account.name,account.handle,account.profileImage,account.subscriberCount,account.url,account.platform,account.platformId,account.verified,imageText,expandedLinks,translated_description,translated_imageText,description_cluster,Image_path,image_ocr,translated_image_ocr,accountHandle,party,Alignation
2146,3.359139165e+29,Instagram,2024-05-02 14:36:55,2024-05-21 18:18:42,album,"वैशाली लोकसभा क्षेत्र अंतर्गत वैशाली विधानसभा के चकलामुद्दीन में जनसंपर्क कर स्थानीय लोगों से मिली।
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6eD0XwPetG/,18762,-2.9259259259,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441193895_978831970400979_710999359237846407_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=W0Nn5z62mncQ7kNvgEOfle0&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYDwg_-iIns64JEh4p4f1ayEQMVW_tKmvlBJTUa_aRCbXw&oe=6652B35D', 'height': 852, 'width': 852}]",False,hi,0,8063813|3359139165122718534,81,0,234,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,"public relations in chaklamuddin of vaishali assembly under vaishali lok sabha constituency met local people
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh",,36,[None],,,iveenadevi,LJSP,Left
2147,3.3591366869999995e+29,Instagram,2024-05-02 14:31:59,2024-05-21 18:18:42,album,"वैशाली लोकसभा क्षेत्र अंतर्गत वैशाली विधानसभा के मौना में जनसंपर्क कर स्थानीय लोगों से मिली।
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6eDQT-PTtm/,18762,-4.3090909091,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441166685_1171812963848318_1326329221632368999_n.webp?stp=dst-jpg&_nc_cat=102&ccb=1-7&_nc_sid=18de74&_nc_ohc=eG3p-EYS-0YQ7kNvgGjjMtU&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYBotSXj6YLAi9-2AH1qC4BLnwBcPGcsLC07AP9aut3Pcw&oe=6652A7ED', 'height': 721, 'width': 1080}]",False,hi,0,8063813|3359136687161424742,55,0,234,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,"public relations in mauna of vaishali assembly under vaishali lok sabha constituency met local people
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh",,36,[None],,,iveenadevi,LJSP,Left
2152,3.359120768e+28,Instagram,2024-05-02 14:00:21,2024-05-21 18:19:20,album,"आज हाजीपुर लोकसभा क्षेत्र से नामांकन के लिए जाने के क्रम में रोड-शो के दौरान विभिन्न स्थानों पर परिवारजनों का आशीर्वाद और अटूट समर्थन प्राप्त हुआ।
हाजीपुर के परिवारजनों ने आज मेरे रोड-शो में जो उत्साह दिखाया वो अद्भुत है ।",https://www.instagram.com/p/C6d_oqHvQyd/,723376,1.5230043256,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441166685_419376460811021_7546749433609804594_n.heic?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=18de74&_nc_ohc=t3AmZskdCfIQ7kNvgF0zXfZ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYBsUrWufNbMaRFSza9tOIs7dEc6oH0qx0EXrEVSd1izFQ&oe=665F16AB', 'height': 960, 'width': 1440}]",False,hi,0,8063839|3359120768024513693,42329,274,27802,171,8063839,Chirag Paswan,ichiragpaswan,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/381267994_1471944610252765_4549254365658642136_n.jpg?stp=dst-jpg_s150x150&_nc_cat=1&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=4AHsPfYar5AQ7kNvgFboKvH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC2wln5Y2h5missAlx05VZZDaP8sbG4gyMDnw9lzB8N_Q&oe=666179E1,1066763,https://www.instagram.com/ichiragpaswan/,Instagram,9651287768,False,,,"today in order to enroll from hajipur lok sabha constituency during the roadshow the blessings and unwavering support of family members were received at various places
the enthusiasm shown by the family members of hajipur today is amazing",,-1,['../images\\image_2152_0.jpg'],,,ichiragpaswan,LJSP,Left
2160,3.359098168e+29,Instagram,2024-05-02 13:15:27,2024-05-21 18:18:42,album,"हाजीपुर स्थित संस्कृत महाविद्यालय में आज @lok__janshakti_party_ramvilas के राष्ट्रीय अध्यक्ष माननीय श्री @ichiragpaswan जी के नामांकन सह आशीर्वाद सभा में सम्मिलित होकर उपस्थित जनता से NDA के पक्ष में मतदान कर देश के यशस्वी प्रधानमंत्री श्री @narendramodi जी के हाथ को मजबूत करने का अपील की।
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6d6fyqvzWv/,18762,3.2658227848,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441432561_429942222975225_8249267763304391571_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=ZHRfW4TPmQ4Q7kNvgHGg-ib&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYCoo-J6jXLSpLZ5da92AgSzYweOPGdSSgRs3H_Q2iaoTQ&oe=6652AA14', 'height': 407, 'width': 612}]",False,hi,0,8063813|3359098168493946287,772,2,234,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,"in the sanskrit college in hajipur today lok__janshakti_party_ramvilas national president honorable mr chiraagpaswan ji attended the nomination cum ashirwad sabha and appealed to the people present to vote in favor of nda and to strengthen the hands of the countrys fame prime minister shri narendramodi ji
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh",,29,[None],,,iveenadevi,LJSP,Left
2161,3.359097896e+28,Instagram,2024-05-02 13:14:55,2024-05-21 18:19:20,photo,"आज हाजीपुर की देवतुल्य जनता के स्नेह-साथ, विश्वास और आशीर्वाद से हाजीपुर लोकसभा क्षेत्र (21) से एनडीए समर्थित लोक जनशक्ति पार्टी (रामविलास) के प्रत्याशी के रूप में अपना नामांकन दाखिल किया।",https://www.instagram.com/p/C6d6b0gN-81/,723376,2.4213445935,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441360999_738230518381955_6977267570574906993_n.heic?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=JkLXaymTHBQQ7kNvgENnklZ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYBcDsAtjT4QzbESnC0Zbn1AKg9It9KdjlEJMLwTI3AB9w&oe=665EF0DB', 'height': 364, 'width': 679}]",False,hi,0,8063839|3359097895586885429,29086,159,11950,128,8063839,Chirag Paswan,ichiragpaswan,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/381267994_1471944610252765_4549254365658642136_n.jpg?stp=dst-jpg_s150x150&_nc_cat=1&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=4AHsPfYar5AQ7kNvgFboKvH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC2wln5Y2h5missAlx05VZZDaP8sbG4gyMDnw9lzB8N_Q&oe=666179E1,1066763,https://www.instagram.com/ichiragpaswan/,Instagram,9651287768,False,,,today he filed his nomination as a candidate of the ndabacked lok janshakti party ram vilas from hajipur lok sabha constituency 21 with the affection of the deity of hajipur with faith and blessings,,170,['../images\\image_2161_0.jpg'],,,ichiragpaswan,LJSP,Left
2168,3.3590551929999995e+29,Instagram,2024-05-02 11:50:04,2024-05-21 18:18:42,photo,"वैशाली लोकसभा क्षेत्र अंतर्गत प्रखंड गोरौल में कल दिनांक 03 मई 2024 का जनसंपर्क कार्यक्रम। 
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6dwua4PUUH/,18762,1.686440678,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441306139_3884039378494347_5582687012261729028_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=SqnjMr0JVO4Q7kNvgHI4TRx&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYAWbjQvBz3v9Lpu45ICrezovvmrYuA78Cvzpbk4KLtUHg&oe=66529F32', 'height': 1261, 'width': 1080}]",False,hi,0,8063813|3359055193277547783,198,1,114,4,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,"public relations program of 03 may 2024 in block goraul under vaishali lok sabha constituency
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh",,28,[None],,,iveenadevi,LJSP,Left
2182,3.3589968629999994e+29,Instagram,2024-05-02 09:54:11,2024-06-01 21:47:38,album,"मैनपुरी का एक ही नारा
PDA है परिवार हमारा
जनता सबकुछ जान गई
जुमलों को पहचान गई",https://www.instagram.com/p/C6djdmRB6mT/,317945,-1.257159709,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441242597_7439053972880958_4793077827359554372_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=I8Cbf6h1GUwQ7kNvgGigE9F&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYAtMUPQt516bAbzoo-JCqP7oswPsSiE-ZDnXPjV5aqadw&oe=66616244', 'height': 710, 'width': 1065}]",False,hi,0,11320052|3358996862668876179,15127,132,19029,154,11320052,Dimple Yadav,socialist_dimpleyadav,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/57257158_401498690694702_7734465217890877440_n.jpg?stp=dst-jpg_s150x150&_nc_cat=106&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=CiOW75GFAY4Q7kNvgHUa2v-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD-o1gYkrCdeumfI16HcdD4jt3Scg00jLX5WnBXycmlcA&oe=6661E32D,368258,https://www.instagram.com/socialist_dimpleyadav/,Instagram,13046533735,True,,,"only one slogan of mainpuri
pda is our family
the public knew everything
jummals recognized",,141,['../images\\image_2182_0.jpg'],,,socialist_dimpleyadav,SP,Left
2183,3.358993754e+29,Instagram,2024-05-02 09:48:00,2024-05-21 18:18:42,photo,"एक ही सोच, एक ही सपना विकसित हो वैशाली अपना 
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6diwXQvGps/,18762,-1.145631068,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441306627_1618234638938161_7103209192078377018_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=KbsMI9dMGTQQ7kNvgHGLkWc&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYCkXMarDoziTN9hYTyrV6X_bInNh-UpGYtlIEEGqzy7PQ&oe=6652D34E', 'height': 1080, 'width': 1080}]",False,hi,0,8063813|3358993754181364332,100,3,114,4,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,"नामाकन कार्यक्रम सह एक ही सोच, एक ही सपना विकसित हो वैशाली अपना चुनावचिन्ह चुनावा श्रीमती वीणा श्रीमतीवीणादेवी देवी वैशाली लोकसभा क्षेत्र-16 सांसद सह एनडीए प्रत्याशी, हलाकाएर डाप",,"the same thinking only one dream develops vaishali apna
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh","Nomination program cum the same thinking, the same dream developed Vaishali, Vaishali, Mrs. Veena, Mrs. Veena Mrs. Vaishali Devi Vaishali Lok Sabha constituency-16 MP cum NDA candidate, Halakaar Dap",28,[None],,,iveenadevi,LJSP,Left
2196,3.35892468e+29,Instagram,2024-05-02 07:30:46,2024-05-21 18:18:42,photo,"25 मई का दिन होगा हेलीकॉप्टर चुनाव चिन्ह होगा
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6dTDNXPOxT/,18762,3.3644067797,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441369613_356376694099042_3336633455718896303_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=kQ_qhLvFgGUQ7kNvgH7IATh&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYDc_JI_dQdJz-XolFJpxSsAYniM99GSh-vu2ORAjQJJbA&oe=6652B710', 'height': 1351, 'width': 1080}]",False,hi,0,8063813|3358924680478911571,393,4,114,4,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,"may 25 will be a helicopter election symbol
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh",,28,[None],,,iveenadevi,LJSP,Left
2206,3.35889283e+28,Instagram,2024-05-02 06:27:29,2024-05-21 18:19:20,album,मां का आशीर्वाद!,https://www.instagram.com/p/C6dLzuTN7gz/,723376,3.2716190612,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441172689_1512540562939453_5324470728083296468_n.heic?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=jbpQFXMxUOkQ7kNvgE-BVfE&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYCckLFcubpwGIYrk10ReMspViilopToNRiRmyAtsaZVTA&oe=665F075F', 'height': 1200, 'width': 1200}]",False,en,0,8063839|3358892830007736371,91010,507,27802,171,8063839,Chirag Paswan,ichiragpaswan,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/381267994_1471944610252765_4549254365658642136_n.jpg?stp=dst-jpg_s150x150&_nc_cat=1&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=4AHsPfYar5AQ7kNvgFboKvH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC2wln5Y2h5missAlx05VZZDaP8sbG4gyMDnw9lzB8N_Q&oe=666179E1,1066763,https://www.instagram.com/ichiragpaswan/,Instagram,9651287768,False,,,mothers blessings,,175,['../images\\image_2206_0.jpg'],,,ichiragpaswan,LJSP,Left
2209,3.3588771739999996e+28,Instagram,2024-05-02 05:56:23,2024-05-21 18:19:20,album,"आज पापा होते तो वे मुझे ये सिंबल दे रहे होते , लेकिन जब वे नहीं है तो आज उनका आशीर्वाद लेकर निकल पड़ा हूं उनकी कर्मभूमि को एक नई पहचान दिलाने के लिए। मैं पापा के हर वो सपने को पूरा करूंगा जो उन्होंने हाजीपुर की जनता के लिए देखा था।",https://www.instagram.com/p/C6dIP5DNYvT/,723376,1.4248382368999999,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441264442_800958844919045_5413256209235452151_n.heic?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=18de74&_nc_ohc=ydWOAr15txkQ7kNvgE3dkWe&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD3PLIEIo3JPlUrA0Ei4oLZtlNtogNspPFs8Rl11uaHMw&oe=665F15E2', 'height': 960, 'width': 1439}]",False,hi,0,8063839|3358877173509622739,39687,170,27802,171,8063839,Chirag Paswan,ichiragpaswan,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/381267994_1471944610252765_4549254365658642136_n.jpg?stp=dst-jpg_s150x150&_nc_cat=1&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=4AHsPfYar5AQ7kNvgFboKvH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC2wln5Y2h5missAlx05VZZDaP8sbG4gyMDnw9lzB8N_Q&oe=666179E1,1066763,https://www.instagram.com/ichiragpaswan/,Instagram,9651287768,False,,,if he had been a father today he would have been giving me this symbol but when he is not he has come out with his blessings to give his work place a new identityi will fulfill every dream of papa which he saw for the people of hajipur,,-1,['../images\\image_2209_0.jpg'],"Any
Sinvgenpiore
Miano +
","Any
Sinvgenpiore
Miano +",ichiragpaswan,LJSP,Left
2212,3.358867129e+28,Instagram,2024-05-02 05:36:25,2024-05-21 18:19:20,album,आज अपने आवास पर हाजीपुर संसदीय क्षेत्र से नामांकन दाखिल करने से पूर्व श्री गणेश पूजन कर आशीर्वाद लिया।,https://www.instagram.com/p/C6dF9uxvXVh/,723376,-1.0953910013,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441178254_957926198993581_6894209452974840968_n.heic?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=1VQ6R3Zl-_kQ7kNvgFv52l1&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYDUBJDQvwDWWfYlbkIEMfnHPc7jM2Tlrksp1aS7--T9YQ&oe=665F0A55', 'height': 960, 'width': 1439}]",False,en,0,8063839|3358867129435518305,25418,119,27802,171,8063839,Chirag Paswan,ichiragpaswan,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/381267994_1471944610252765_4549254365658642136_n.jpg?stp=dst-jpg_s150x150&_nc_cat=1&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=4AHsPfYar5AQ7kNvgFboKvH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC2wln5Y2h5missAlx05VZZDaP8sbG4gyMDnw9lzB8N_Q&oe=666179E1,1066763,https://www.instagram.com/ichiragpaswan/,Instagram,9651287768,False,,,today before filing nomination from hajipur parliamentary constituency at his residence shri ganesh worshiped and took blessings,,158,['../images\\image_2212_0.jpg'],,,ichiragpaswan,LJSP,Left
2213,3.358864193e+29,Instagram,2024-05-02 05:30:35,2024-05-21 18:18:42,album,"वैशाली लोकसभा क्षेत्र अंतर्गत वैशाली विधानसभा के गोरौल गांव में जनसंपर्क कर स्थानीय लोगों से मिली।
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6dFTAYPbwA/,18762,-3.1184210526,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/441238366_376973901319700_6599274155164225401_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=uX19_mKJXDAQ7kNvgEBi-a2&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYCvORZXtiNvZaB6dZ3bwhfVwBLBVxFRFdgYvqSlFDrT3w&oe=6652C979', 'height': 719, 'width': 1080}]",False,en,0,8063813|3358864193397570560,75,1,234,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,"public relations in goraul village of vaishali assembly under vaishali lok sabha constituency met local people
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh",,36,[None],,,iveenadevi,LJSP,Left
2215,3.3588600309999994e+29,Instagram,2024-05-02 05:22:19,2024-05-21 18:18:42,album,"वैशाली लोकसभा क्षेत्र अंतर्गत वैशाली विधानसभा के इनायतनगर में जनसंपर्क कर स्थानीय लोगों से मिली।
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6dEWcKvnNZ/,18762,-3.8852459016000003,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/440895694_1472284397014386_963503903506291185_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=18de74&_nc_ohc=h-IY9reavGgQ7kNvgFeIAWZ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYBOoFVYqloeR43AJDKqhOtFpEciCljnpW98qghyTYHIbw&oe=6652D2B6', 'height': 720, 'width': 1080}]",False,hi,0,8063813|3358860031347815257,61,0,234,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,"public relations in inayatnagar of vaishali assembly under vaishali lok sabha constituency met local people
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh",,36,[None],,,iveenadevi,LJSP,Left
2217,3.3588520709999996e+29,Instagram,2024-05-02 05:06:30,2024-05-21 18:18:42,album,"वैशाली लोकसभा क्षेत्र अंतर्गत वैशाली विधानसभा के मौना में जनसंपर्क कर स्थानीय लोगों से मिली। 
#अबकी_बार_400_पार 
#LokSabhaElection2024

@bjp4india @narendramodi @amitshahofficial @jpnaddaofficial @bjp4bihar @ichiragpaswan @samratchoudharybjp @idineshpdsingh",https://www.instagram.com/p/C6dCimOPI7m/,18762,-1.6690140845,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/440918496_1129094898337150_1160796767094157737_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=18de74&_nc_ohc=Lb05aOype-4Q7kNvgHX208V&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYDyyJUtmauFKFv-Yjaq9Uz3mZAwG8DyPFFDTm1j5lvSWw&oe=6652B394', 'height': 720, 'width': 1080}]",False,hi,0,8063813|3358852070684528358,142,0,234,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,"public relations in mauna of vaishali assembly under vaishali lok sabha constituency met local people
abki_bar_400_par
loksabhaetion2024

bjp4india narendramodi amitshahofficial jpnaddaoffecial bjp4bihar ichraagpaswan samratchoudharybjp idineshpdsingh",,36,[None],,,iveenadevi,LJSP,Left
